업체명,날짜,맛,양,배달,주문메뉴,상세리뷰
Jazz&라멘,2일 전,1,1,1,"
            카이센동 （참치＋연어＋다코와사비＋아보카도）/1(추가 선택(mini라멘육수 （돈고츠）))
          ","카이센동 2줄 평- 카이센동 / 라멘 국물 추가 
1. 먹으면서 화가 올라오는 덮밥
내가 뭘 먹고 있지? 가격 생각..
2. 라멘 국물 추가 x 
된장국 같은 작은 플라스틱 그릇에
라멘국물 한 국자 2천원은 납득이 되지 않아요. 

생물 덮밥이라 데우기도 뭐하고 먹는데 소화도 안되며 참치 힘줄이 많아 거북합니다.게다가 밥은 딱딱하기 까지, 식감이 안좋습니다. 

제가 음식평은 원래 잘 남기지 않습니다. 
이렇게 구체적으로 길게 남긴것도 처음이네요. 
어려운 시기지만, 
더 좋은 음식 만들어 주시면 고맙겠습니다."
Jazz&라멘,2022년 3월 15일,2,3,2,"
            돈고츠 라멘（진한맛）/1,미소 라멘（구수한 된장맛）/1(추가 선택(mini 챠항（챠슈 볶음밥）추가))
          ",처음시켜봤는데 음식을 보자마자 맛을 떠나서 포장이 너무 허술한듯 해요. 뜨거운음식이라 그런지 배달용기가 한쪽이 찌그러져있고 국물이 다 샜어요. 차슈볶음밥은.... 양이.. 뭐 가격이 저렴하긴 하지만 적게 느껴지는데 차라리 더 작은 용기에 담으면 좀 많아보이지 않을까요? 비주얼이 담다 만 느낌이라서 좀 그러네요. 국물이좀짜서 뜨거운물 섞어먹었어요.ㅜ
Jazz&라멘,2022년 3월 7일,3,3,1,"
            챠슈 야끼라멘（볶음면）/1,텐동（붕장어＋왕새우&야채 튀김 덮밥）/1
          ",배달이 늦어서 굉장히 아쉽습니다. 텐동의 튀김은 눅눅해졌고 면은 떡이 됐네요… 나오자마자 먹었으면 훨씬 맛있었을 것 같은데 정말 아쉽습니다.
Jazz&라멘,2022년 3월 1일,3,2,3,"
            돈고츠 라멘（진한맛）/1(옵션그룹 추가(온천계란)),미니차슈（고기만）/1,가라아게（닭튀김） 사이드 메뉴/1
          ",간단히 전문성 1도 없는 아쉬운 맛
Jazz&라멘,2022년 2월 12일,2,3,3,"
            왕새우덮밥 에비 가츠동/1(추가 선택(사이즈업)),믹스동（한번에!왕새우 닭 등심）/1(추가 선택(사이즈업))
          ",쓴맛과 탄냄새가 나서 버렸습니다
Jazz&라멘,2022년 2월 10일,5,3,3,"
            텐동（붕장어＋왕새우&야채 튀김 덮밥）/3
          ",맛있어요 그런데 양이 조금 적은거 같아요....ㅠ 5분만에 다 먹었어요.....
Jazz&라멘,2022년 2월 4일,5,2,1,"
            돈고츠 라멘（진한맛）/1,미소 라멘（구수한 된장맛）/1
          ",국물이 다 새서왔어요
Jazz&라멘,2022년 1월 31일,1,2,3,"
            돈고츠 라멘（진한맛）/1(추가 선택(차슈 추가)),등심 가츠동/1
          ",라멘에 들어간 삶은 계란은 상하기 직전의 역한 향이 났고 같이 들어간 숙주는 데치지 않아 비린 맛이 너무 심하게 납니다
Jazz&라멘,2022년 1월 25일,3,4,5,"
            돈고츠 라멘（진한맛）/2
          ",배달원분 친절하고 국물은 조금밖에 안 흘렀고 양도 적당한데... 솔직하게 말씀드리면 음식이 밍밍하고 고기는 한 점있고 단무지는 너무 달고 이게 원래 라멘맛인가요? 제가 라멘을 여러번 먹어봤는데 무슨 맛인지 모르겠어요 ㅠ
Jazz&라멘,2021년 12월 28일,2,4,3,"
            돈고츠 라멘（진한맛）/1,차슈 덮밥（BBQ 덮밥）/1,등심 가츠동/2,규동（일본식 소고기 덮밥）/1
          ",규동은 불고기덮밥맛이 나고 라멘은 떡국맛이 납니다 돈까스는 어떻게 만든건지 진짜 너무 써요 그나마 차슈덮밥이 차슈덮밥맛이 나긴 합니다
Jazz&라멘,2021년 11월 24일,3,2,1,"
            돈고츠 라멘（진한맛）/1(추가 선택(차슈 추가)),규동（일본식 소고기 덮밥）/1(추가 선택(사이즈업))
          ","맛은 적당한대 배달이 질못된건지 신경을 안쓰는건지
요청사항에 분명히 적어두었는대 또 라면 국물 다 흘러나와서 왔네요. 이건 뭐 라면을 국물없이 먹으라는것도 아니고 왜 이따위로...통에 구멍을 뚫었으면 밑에 비닐이라도 큰걸 써야지 다 흐르게 보내는 이유가 뭔가요?"
Jazz&라멘,2021년 11월 22일,3,2,4,"
            돈고츠 라멘（진한맛）/1,텐동（붕장어＋왕새우&야채 튀김 덮밥）/1
          ",음... 양 적어요 텐동도 튀김 눅눅 ㅠㅠ 아쉽네요
Jazz&라멘,2021년 11월 19일,5,3,1,"
            돈고츠 라멘（진한맛）/1(추가 선택(mini 챠항（챠슈 볶음밥）추가)),미니차슈（고기만）/1
          ","이틀연속 시켰는데 둘다 국물 쏟아져서 배송됨 용기바꾸는게 시급해보임. 
전체적인 맛은 좋으나 차슈한개밖에안들어 있고 양이 좀 적음.
그리고익스프레스 배송 예정시간보다 많이 늦게도착함"
Jazz&라멘,2021년 11월 18일,5,3,4,"
            돈고츠 라멘（진한맛）/1(추가 선택(차슈 추가,면 추가)),미니차슈（고기만）/1
          ",맛있게먹었어요 근데 차슈추가했는데 4개밖에안들었음...
